Feature,Mean Drift
op_setting_1,47.99826339509276
op_setting_2,1.1434012601926722
op_setting_3,11.922403773000354
sensor_1,91.54735749656464
sensor_2,126.49248770680322
sensor_3,345.6225671652305
sensor_4,414.9727490082257
sensor_5,13.1763880914869
sensor_6,20.043365551265914
sensor_7,542.5760991680525
sensor_8,318.65317890848974
sensor_9,1081.74387475181
sensor_10,0.4098252051056255
sensor_11,9.348096159823996
sensor_12,511.6596431273343
sensor_13,107.23197174421603
sensor_14,153.5461438335533
sensor_15,1.7769357730025437
sensor_16,0.01342158401146611
sensor_17,90.99587660295543
sensor_18,318.5803585126496
sensor_19,4.491765621477867
sensor_20,36.151193050242156
sensor_21,21.690311149017983
