Feature 1,Feature 2,Difference
sensor_4,sensor_12,1.7727364703359552
sensor_4,sensor_7,1.7498608537019928
sensor_11,sensor_15,1.7462894783912009
sensor_4,sensor_20,1.6945455200707138
sensor_2,sensor_12,1.693406046052361
sensor_4,sensor_21,1.6916621870787867
sensor_8,sensor_15,1.6721264522991963
sensor_2,sensor_7,1.6707566153080324
sensor_11,sensor_12,1.653188432759054
sensor_12,sensor_17,1.6349092327537376
sensor_2,sensor_21,1.6304665934025637
sensor_7,sensor_11,1.62824339459317
sensor_2,sensor_20,1.6242653724838447
sensor_7,sensor_17,1.6238406725264172
sensor_3,sensor_12,1.609840475093073
sensor_4,sensor_15,1.6051848913174602
sensor_3,sensor_7,1.5936497779326504
sensor_13,sensor_15,1.5818672826565008
sensor_17,sensor_21,1.577801590151871
sensor_17,sensor_20,1.5701345519881014
