Feature 1,Feature 2,Difference
sensor_4,sensor_12,1.772326039139958
sensor_4,sensor_7,1.749443754309283
sensor_11,sensor_15,1.7446219616859924
sensor_4,sensor_20,1.6940660002893844
sensor_2,sensor_12,1.6937650273345484
sensor_4,sensor_21,1.691158377575393
sensor_2,sensor_7,1.6711154044450727
sensor_8,sensor_15,1.6697302752947527
sensor_11,sensor_12,1.6531250836846012
sensor_12,sensor_17,1.6349496824182288
sensor_2,sensor_21,1.630856567250963
sensor_7,sensor_11,1.6281716994359083
sensor_2,sensor_20,1.6246648637695746
sensor_7,sensor_17,1.6238760032932236
sensor_3,sensor_12,1.6098059617401375
sensor_4,sensor_15,1.6044584584880064
sensor_3,sensor_7,1.593608195850312
sensor_13,sensor_15,1.5789023775416853
sensor_17,sensor_21,1.5777890818501756
sensor_17,sensor_20,1.5701383733758674
