,op_setting_1,op_setting_2,sensor_2,sensor_3,sensor_4,sensor_6,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21
op_setting_1,1.0,0.011660441595286812,0.009029868145965287,-0.005651100503660639,0.009543964889851311,-0.0013404100045024724,-0.009437328281565717,-0.00042668682640695205,-0.004278809097752288,0.011657841533232202,-0.0014907949465773679,0.0023177866967825883,-0.004469387706847822,0.0076519945630769545,0.002599197988655587,-0.005712625466433225,-0.01455862421458941
op_setting_2,0.011660441595286812,1.0,0.007266241872272915,0.009067833478139081,0.014672839526545273,0.0143545803095669,-0.01667789618944463,0.013284729768368067,-0.005424966238624865,0.011690379032134062,-0.010922543944429151,0.018156351085410347,-0.006310324293047247,0.014156031526538918,0.01227978681580867,-0.010554032598905647,-0.007845559001333451
sensor_2,0.009029868145965287,0.007266241872272915,1.0,0.6026096254119663,0.7149492357344346,0.132242491063128,-0.7021364512462581,0.6623249714773479,0.27376424977129465,0.7400200250826947,-0.7245784731486256,0.6617924441473915,0.1797520089813038,0.6759751834687658,0.6298855524724675,-0.66184070160526,-0.6680502336445678
sensor_3,-0.005651100503660639,0.009067833478139081,0.6026096254119663,1.0,0.6784127230560499,0.11603935842710657,-0.6645953071132289,0.6024805063934241,0.3229644012471922,0.6959001518952431,-0.6803068131690224,0.6009632389153967,0.23713725709941372,0.6399212019115184,0.6000172066356568,-0.6259414240527787,-0.6339008220838391
sensor_4,0.009543964889851311,0.014672839526545273,0.7149492357344346,0.6784127230560499,1.0,0.15048012790900522,-0.7931295615103564,0.7468516378386186,0.2974286048640261,0.8301356963159815,-0.815590516105214,0.7451584171066051,0.1907476635905984,0.7584588237333841,0.7034991076071142,-0.7480671529345257,-0.7451931072313168
sensor_6,-0.0013404100045024724,0.0143545803095669,0.132242491063128,0.11603935842710657,0.15048012790900522,1.0,-0.15572021582853457,0.15216063936486202,0.019347241293042904,0.16001446079151005,-0.155883746509672,0.1582762403384188,-0.0021123292305550018,0.1490419542451202,0.1308095801422252,-0.14141850354009616,-0.13741863497663268
sensor_7,-0.009437328281565717,-0.01667789618944463,-0.7021364512462581,-0.6645953071132289,-0.7931295615103564,-0.15572021582853457,1.0,-0.7671324922557688,-0.2178352478918392,-0.8228050249957691,0.812712601325414,-0.7646112718879825,-0.11005295045571481,-0.7470510147905534,-0.6928926302047294,0.7361633224361058,0.7374465463515103
sensor_8,-0.00042668682640695205,0.013284729768368067,0.6623249714773479,0.6024805063934241,0.7468516378386186,0.15216063936486202,-0.7671324922557688,1.0,-0.03209112729269517,0.7822127696336517,-0.786539605029396,0.8260843322333569,-0.14478695859311377,0.7009493494249228,0.6277852737540254,-0.6870302309800361,-0.6888400311460682
sensor_9,-0.004278809097752288,-0.005424966238624865,0.27376424977129465,0.3229644012471922,0.2974286048640261,0.019347241293042904,-0.2178352478918392,-0.03209112729269517,1.0,0.27459121737959136,-0.2102383266148202,-0.034762503443821514,0.9631566003059776,0.2937530614075117,0.3371097288462262,-0.2852796694613779,-0.2927951918590654
sensor_11,0.011657841533232202,0.011690379032134062,0.7400200250826947,0.6959001518952431,0.8301356963159815,0.16001446079151005,-0.8228050249957691,0.7822127696336517,0.27459121737959136,1.0,-0.8468835930051095,0.780760787176233,0.16340794452120305,0.7809127612290541,0.7222963106255637,-0.7715096058655173,-0.7725544629421499
